1, forest, regions_unexplored:alpha_grove, minecraft:allay, CREATURE, 5, 1, 1
2, forest, regions_unexplored:alpha_grove, minecraft:bee, CREATURE, 15, 2, 4
3, forest, regions_unexplored:alpha_grove, minecraft:chicken, CREATURE, 25, 2, 4
4, forest, regions_unexplored:alpha_grove, minecraft:cow, CREATURE, 20, 2, 3
5, forest, regions_unexplored:alpha_grove, minecraft:donkey, CREATURE, 5, 1, 2
6, forest, regions_unexplored:alpha_grove, minecraft:horse, CREATURE, 5, 1, 2
7, forest, regions_unexplored:alpha_grove, minecraft:mooshroom, CREATURE, 2, 1, 1
8, forest, regions_unexplored:alpha_grove, minecraft:mule, CREATURE, 5, 1, 1
9, forest, regions_unexplored:alpha_grove, minecraft:pig, CREATURE, 25, 2, 4
10, forest, regions_unexplored:alpha_grove, minecraft:rabbit, CREATURE, 15, 2, 3
11, forest, regions_unexplored:alpha_grove, minecraft:sheep, CREATURE, 25, 2, 4
12, forest, regions_unexplored:alpha_grove, minecraft:wolf, CREATURE, 15, 2, 3
13, forest, regions_unexplored:alpha_grove, alexsmobs:grizzly_bear, CREATURE, 5, 1, 2
14, forest, regions_unexplored:alpha_grove, alexsmobs:hummingbird, CREATURE, 15, 2, 3
15, forest, regions_unexplored:alpha_grove, alexsmobs:raccoon, CREATURE, 10, 2, 3
16, forest, regions_unexplored:alpha_grove, alexsmobs:crow, CREATURE, 10, 2, 3
17, forest, regions_unexplored:alpha_grove, alexsmobs:bald_eagle, CREATURE, 5, 1, 2
18, forest, regions_unexplored:alpha_grove, alexsmobs:bunfungus, CREATURE, 5, 1, 2
19, forest, regions_unexplored:alpha_grove, alexsmobs:sugar_glider, CREATURE, 10, 2, 3
20, forest, regions_unexplored:alpha_grove, legendarycreatures:forest_mojo, CREATURE, 5, 1, 2
21, forest, regions_unexplored:alpha_grove, legendarycreatures:hound, CREATURE, 15, 1, 2
22, forest, regions_unexplored:alpha_grove, legendarycreatures:wisp, CREATURE, 10, 2, 3
23, forest, regions_unexplored:alpha_grove, minecraft:creeper, MONSTER, 10, 1, 2
24, forest, regions_unexplored:alpha_grove, minecraft:enderman, MONSTER, 5, 1, 1
25, forest, regions_unexplored:alpha_grove, minecraft:pillager, MONSTER, 5, 1, 2
